sample_accession,isolate
SAMEA2204382,11658_5#36
SAMEA2204386,11658_8#39
SAMEA2204389,11658_5#38
SAMEA2204384,11658_8#38
SAMEA2204392,11658_7#20
SAMEA2204396,11658_4#19
SAMEA2204393,11658_6#30
SAMEA2204404,11658_5#40
SAMEA2204409,11658_8#42
SAMEA2204410,11658_6#33
SAMEA2204412,11658_7#25
SAMEA2204411,11658_7#24
SAMEA2204422,11658_3#2
SAMEA2204424,11657_5#11
SAMEA2204419,11679_4#2
SAMEA2204425,11657_6#8
SAMEA2204420,11657_6#7
SAMEA2204427,11657_5#12
SAMEA2204439,11657_6#11
SAMEA2204443,11657_7#5
SAMEA2204452,11679_4#5
SAMEA2204451,11657_7#8
SAMEA2204444,11679_6#5
SAMEA2204461,11657_6#16
SAMEA2204455,11657_7#9
SAMEA2204453,11679_5#3
SAMEA2204458,11657_6#15
SAMEA2204462,11679_4#6
SAMEA2204473,11657_5#15
SAMEA2204472,11679_8#3
SAMEA2204474,11679_7#5
SAMEA2204480,11657_6#17
SAMEA2204497,11658_3#12
SAMEA2204504,11657_7#18
SAMEA2204506,11657_5#18
SAMEA2204507,11657_6#20
SAMEA2204505,11657_5#17
SAMEA2204508,11657_7#19
SAMEA2204512,11657_6#21
SAMEA2204517,11658_6#37
SAMEA2204522,11658_5#43
SAMEA2204524,11658_5#44
SAMEA2204526,11658_8#44
SAMEA2204528,11679_8#7
SAMEA2204534,11658_8#46
SAMEA2204527,11658_7#28
SAMEA2204529,11658_8#45
SAMEA2204531,11658_5#45
SAMEA2204535,11658_7#29
SAMEA2204542,11658_6#42
SAMEA2204538,11658_8#49
SAMEA2204544,11791_7#24
SAMEA2204548,11679_6#13
SAMEA2204554,11791_7#29
SAMEA2204558,11791_7#32
SAMEA2204561,11658_8#53
SAMEA2204562,11791_7#33
SAMEA2204565,11658_5#51
SAMEA2204569,11657_5#21
SAMEA2204570,11791_3#1
SAMEA2204568,11791_7#34
SAMEA2204579,11658_4#23
SAMEA2204578,11658_6#50
SAMEA2204573,11658_6#49
SAMEA2204574,11658_7#31
SAMEA2204581,11791_3#2
SAMEA2204582,11658_5#53
SAMEA2204588,11658_5#56
SAMEA2204586,11658_5#55
SAMEA2204584,11658_6#52
SAMEA2204585,11658_5#54
SAMEA2204595,11658_7#34
SAMEA2204597,11658_6#55
SAMEA2204596,11658_7#35
SAMEA2204600,11679_5#7
SAMEA2204594,11791_7#36
SAMEA2204608,11679_4#14
SAMEA2204601,11679_4#13
SAMEA2204602,11679_8#9
SAMEA2204614,11658_4#25
SAMEA2204617,11657_6#22
SAMEA2204613,11679_5#9
SAMEA2204618,11657_7#22
SAMEA2204624,11657_6#23
SAMEA2204621,11679_5#10
SAMEA2204627,11679_4#16
SAMEA2204630,11657_5#24
SAMEA2204631,11679_8#11
SAMEA2204636,11791_3#5
SAMEA2204632,11791_3#4
SAMEA2204635,11679_5#13
SAMEA2204647,11679_6#18
SAMEA2204649,11658_3#19
SAMEA2204656,11658_3#21
SAMEA2204660,11679_8#13
SAMEA2204662,11679_7#16
SAMEA2204661,11658_4#26
SAMEA2204664,11657_6#28
SAMEA2204675,11658_3#22
SAMEA2204680,11658_4#27
SAMEA2204683,11658_3#24
SAMEA2204691,11658_8#56
SAMEA2204696,11791_6#11
SAMEA2204697,11679_7#20
SAMEA2204707,11791_7#38
SAMEA2204713,11791_7#39
SAMEA2204717,11658_4#31
SAMEA2204714,11658_5#61
SAMEA2204718,11658_7#44
SAMEA2204721,11658_7#45
SAMEA2204723,11791_7#41
SAMEA2204728,11658_4#34
SAMEA2204735,11658_7#48
SAMEA2204742,11658_4#36
SAMEA2204743,11791_6#12
SAMEA2204741,11657_6#31
SAMEA2204744,11791_3#8
SAMEA2204745,11657_5#34
SAMEA2204746,11658_5#62
SAMEA2204752,11679_4#22
SAMEA2204755,11791_3#9
SAMEA2204756,11658_7#49
SAMEA2204757,11657_6#32
SAMEA2204758,11679_8#18
SAMEA2204762,11657_7#33
SAMEA2204760,11679_4#23
SAMEA2204764,11658_4#38
SAMEA2204763,11791_3#10
SAMEA2204765,11657_5#36
SAMEA2204769,11791_6#16
SAMEA2204774,11657_5#38
SAMEA2204781,11791_7#44
SAMEA2204788,11679_4#25
SAMEA2204792,11679_6#25
SAMEA2204787,11657_6#34
SAMEA2204791,11679_6#24
SAMEA2204797,11791_3#13
SAMEA2204798,11679_6#26
SAMEA2204796,11658_3#26
SAMEA2204795,11791_3#12
SAMEA2204800,11658_3#27
SAMEA2204801,11679_8#22
SAMEA2204803,11791_3#14
SAMEA2204802,11679_5#20
SAMEA2204804,11679_7#22
SAMEA2204808,11791_6#17
SAMEA2204811,11679_8#23
SAMEA2204812,11679_5#22
SAMEA2204815,11679_8#24
SAMEA2204818,11679_7#24
SAMEA2204819,11657_6#36
SAMEA2204823,11679_8#27
SAMEA2204828,11679_8#29
SAMEA2204824,11679_6#27
SAMEA2204833,11791_3#21
SAMEA2204834,11791_3#22
SAMEA2204836,11657_7#35
SAMEA2204841,11679_8#31
SAMEA2204840,11679_7#26
SAMEA2204839,11679_5#24
SAMEA2204843,11791_3#25
SAMEA2204850,11657_6#37
SAMEA2204857,11679_6#33
SAMEA2204858,11791_3#29
SAMEA2204867,11679_7#27
SAMEA2204864,11657_6#39
SAMEA2204866,11657_5#39
SAMEA2204874,11657_6#40
SAMEA2204876,11657_5#42
SAMEA2204883,11658_5#66
SAMEA2204891,11679_8#38
SAMEA2204894,11658_8#61
SAMEA2204895,11679_5#28
SAMEA2204890,11791_7#45
SAMEA2204889,11657_5#43
SAMEA2204900,11679_8#40
SAMEA2204901,11679_8#41
SAMEA2204908,11658_6#65
SAMEA2204907,11791_3#34
SAMEA2204909,11679_6#36
SAMEA2204913,11657_5#44
SAMEA2204917,11658_5#69
SAMEA2204921,11657_7#40
SAMEA2204924,11658_7#56
SAMEA2204927,11791_7#51
SAMEA2204930,11658_8#64
SAMEA2204933,11658_8#65
SAMEA2204934,11658_7#57
SAMEA2204935,11658_7#58
SAMEA2204936,11657_6#42
SAMEA2204942,11658_6#68
SAMEA2204938,11791_3#37
SAMEA2204946,11658_6#69
SAMEA2204950,11791_7#54
SAMEA2204944,11658_5#75
SAMEA2204951,11658_6#70
SAMEA2204953,11679_5#30
SAMEA2204969,11658_8#69
SAMEA2204964,11679_8#44
SAMEA2204972,11658_5#78
SAMEA2204975,11679_4#29
SAMEA2204978,11658_7#63
SAMEA2204979,11658_5#81
SAMEA2204986,11658_6#73
SAMEA2204988,11791_7#56
SAMEA2204994,11658_8#78
SAMEA2204991,11658_6#75
SAMEA2204992,11658_6#76
SAMEA2205005,11658_8#82
SAMEA2205012,11791_6#21
SAMEA2205009,11658_8#83
SAMEA2205014,11657_6#44
SAMEA2205026,11791_7#58
SAMEA2205022,11658_6#80
SAMEA2205028,11658_5#84
SAMEA2205024,11658_7#64
SAMEA2205027,11658_6#82
SAMEA2205037,11658_8#88
SAMEA2205029,11791_7#59
SAMEA2205041,11791_7#60
SAMEA2205042,11791_6#22
SAMEA2205040,11658_8#90
SAMEA2205038,11658_8#89
SAMEA2205046,11657_6#45
SAMEA2205052,11658_4#55
SAMEA2205050,11658_6#87
SAMEA2205061,11658_4#56
SAMEA2205060,11658_8#92
SAMEA2205065,11679_8#45
SAMEA2205070,11679_8#46
SAMEA2205068,11679_4#32
SAMEA2205072,11679_5#32
SAMEA2205069,11658_4#58
SAMEA2205077,11658_3#36
SAMEA2205078,11791_6#23
SAMEA2205080,11657_5#49
SAMEA2205081,11679_4#33
SAMEA2205085,11791_3#41
SAMEA2205082,11679_6#41
SAMEA2205086,11679_6#42
SAMEA2205089,11679_8#49
SAMEA2205096,11791_3#42
SAMEA2205095,11657_6#46
SAMEA2205092,11679_7#31
SAMEA2205098,11657_6#47
SAMEA2205100,11657_5#50
SAMEA2205104,11679_6#44
SAMEA2205107,11679_4#37
SAMEA2205112,11657_7#47
SAMEA2205118,11658_5#90
SAMEA2205124,11679_4#38
SAMEA2205130,11679_7#36
SAMEA2205127,11658_4#60
SAMEA2205135,11679_4#39
SAMEA2205141,11658_7#65
SAMEA2205140,11658_6#90
SAMEA2205142,11657_6#48
SAMEA2205150,11658_3#40
SAMEA2205156,11791_3#49
SAMEA2205155,11658_7#69
SAMEA2205164,11657_5#55
SAMEA2205168,11657_6#51
SAMEA2205169,11679_5#38
SAMEA2205167,11658_4#62
SAMEA2205174,11657_5#57
SAMEA2205172,11657_6#52
SAMEA2205178,11657_7#52
SAMEA2205184,11791_3#51
SAMEA2205187,11679_6#50
SAMEA2205188,11658_4#63
SAMEA2205192,11679_5#40
SAMEA2205194,11679_5#41
SAMEA2205190,11679_4#49
SAMEA2205189,11657_6#53
SAMEA2205195,11657_6#54
SAMEA2205202,11791_3#54
SAMEA2205204,11679_5#43
SAMEA2205209,11679_5#44
SAMEA2205215,11679_8#63
SAMEA2205207,11657_7#56
SAMEA2205210,11679_8#60
SAMEA2205213,11657_5#58
SAMEA2205222,11679_6#52
SAMEA2205219,11679_7#41
SAMEA2205223,11679_8#64
SAMEA2205228,11657_5#61
SAMEA2205225,11791_3#57
SAMEA2205227,11658_3#44
SAMEA2205233,11658_3#45
SAMEA2205242,11791_3#59
SAMEA2205236,11679_7#44
SAMEA2205246,11657_6#58
SAMEA2205247,11679_6#54
SAMEA2205248,11679_7#45
SAMEA2205252,11657_6#59
SAMEA2205255,11658_3#46
SAMEA2205260,11791_3#60
SAMEA2205253,11679_8#66
SAMEA2205261,11679_4#56
SAMEA2205270,11657_6#60
SAMEA2205272,11658_3#48
SAMEA2205281,11679_5#49
SAMEA2205286,11657_5#70
SAMEA2205285,11657_5#69
SAMEA2205287,11658_4#65
SAMEA2205280,11657_6#61
SAMEA2205282,11658_3#52
SAMEA2205291,11658_4#66
SAMEA2205293,11679_7#48
SAMEA2205296,11657_6#64
SAMEA2205298,11657_7#63
SAMEA2205300,11657_7#64
SAMEA2205302,11658_3#53
SAMEA2205307,11679_5#52
SAMEA2205310,11679_5#54
SAMEA2205311,11657_6#65
SAMEA2205317,11679_8#68
SAMEA2205319,11791_3#63
SAMEA2205327,11679_4#62
SAMEA2205329,11791_6#26
SAMEA2205328,11657_6#66
SAMEA2205333,11679_6#63
SAMEA2205344,11657_6#68
SAMEA2205345,11658_5#91
SAMEA2205346,11657_7#69
SAMEA2205347,11658_3#59
SAMEA2205348,11679_6#64
SAMEA2205353,11679_6#65
SAMEA2205356,11658_3#60
SAMEA2205355,11679_5#58
SAMEA2205358,11679_7#56
SAMEA2205359,11658_4#70
SAMEA2205362,11679_6#68
SAMEA2205363,11658_4#71
SAMEA2205370,11658_4#72
SAMEA2205373,11679_7#58
SAMEA2205375,11658_4#73
SAMEA2205376,11679_4#66
SAMEA2205377,11657_5#73
SAMEA2205387,11679_6#69
SAMEA2205386,11657_7#73
SAMEA2205392,11657_5#74
SAMEA2205397,11657_7#75
SAMEA2205394,11679_5#63
SAMEA2205405,11657_5#75
SAMEA2205403,11679_8#71
SAMEA2205407,11658_6#92
SAMEA2205411,11679_7#62
SAMEA2205410,11679_8#72
SAMEA2205417,11658_5#93
SAMEA2205416,11791_3#64
SAMEA2205420,11679_5#64
SAMEA2205419,11679_7#63
SAMEA2205423,11791_6#28
SAMEA2205431,11679_4#70
SAMEA2205433,11679_4#71
SAMEA2205435,11791_3#65
SAMEA2205429,11791_6#29
SAMEA2205427,11658_7#74
SAMEA2205434,11658_3#66
SAMEA2205439,11679_7#66
SAMEA2205440,11657_6#71
SAMEA2205452,11657_6#72
SAMEA2205454,11679_7#68
SAMEA2205463,11657_6#73
SAMEA2205470,11658_4#83
SAMEA2205472,11658_3#71
SAMEA2205475,11679_5#68
SAMEA2205478,11657_5#78
SAMEA2205482,11657_5#79
SAMEA2205488,11679_7#70
SAMEA2205485,11658_5#95
SAMEA2205495,11679_5#70
SAMEA2205491,11657_6#77
SAMEA2205492,11657_7#84
SAMEA2205494,11657_5#80
SAMEA2205508,11658_4#88
SAMEA2205503,11679_5#71
SAMEA2205501,11791_7#65
SAMEA2205506,11791_6#34
SAMEA2205504,11679_5#72
SAMEA2205517,11791_7#66
SAMEA2205519,11791_6#35
SAMEA2205513,11658_7#82
SAMEA2205520,11679_4#76
SAMEA2205521,11658_4#89
